Smart-B® para Windows®


Ensayo  Codigo  Tipo  T.D.R  T.A.E.  I.I.E.
   1      A      D       0      50      418
   2      O      N       0      50      418
   3      A      D       0      50      418
   4      X      B       0      50      418
   5      A      D       0      49      419
   6      K      N     205      50      419
   7      A      D       0      50      419
   8      X      B     334      48      418
   9      A      D       0      48      419
   10     X      B     233      50      419
   11     A      D       0      48      419
   12     X      B     179      48      419
   13     Z      N       0      49      419
   14     O      N       0      50      419
   15     A      D       0      50      420
   16     X      B     212      49      418
   17     A      D       0      50      418
   18     X      B       0      48      419
   19     D      N       0      50      419
   20     X      B       0      48      419
   21     A      D     360      48      418
   22     R      N       0      48      419
   23     A      D       0      50      419
   24     X      B     252      50      419
   25     A      D       0      48      421
   26     X      B     228      49      418
   27     A      D       0      48      419
   28     X      B     240      49      420
   29     V      N       0      50      418
   30     N      N       0      50      420
   31     A      D       0      50      419
   32     Z      N       0      49      419
   33     C      N       0      50      419
   34     R      N       0      50      418
   35     I      N       0      48      418
   36     K      N       0      48      418
   37     A      D       0      48      419
   38     X      B     199      49      419
   39     A      D       0      49      420
   40     X      B     511      50      419
   41     V      N       0      50      419
   42     Z      N       0      50      418
   43     C      N       0      49      420
   44     L      N       0      48      419
   45     A      D       0      49      419
   46     X      B       0      49      419
   47     T      N       0      50      418
   48     V      N       0      48      418
   49     A      D       0      50      418
   50     X      B     250      50      419
   51     A      D       0      48      419
   52     X      B       0      49      420
   53     P      N       0      49      419
   54     U      N       0      50      419
   55     A      D       0      49      420
   56     X      B       0      50      419
   57     A      D       0      48      419
   58     X      B     205      50      419
   59     D      N       0      48      419
   60     Y      N       0      49      420
   61     Y      N       0      50      418
   62     U      N       0      50      420
   63     A      D       0      50      419
   64     X      B       0      50      418
   65     A      D       0      48      419
   66     O      N       0      50      418
   67     A      D       0      50      419
   68     Z      N       0      50      418
   69     A      D       0      50      418
   70     S      N       0      48      419
   71     H      N       0      49      419
   72     X      B       0      48      419
   73     Q      N       0      49      420
   74     M      N       0      50      418
   75     A      D       0      49      420
   76     X      B     169      48      419
   77     B      N       0      50      419
   78     G      N       0      49      419
   79     A      D       0      50      420
   80     X      B     162      50      419
   81     A      D       0      50      418
   82     X      B       0      48      419
   83     A      D     611      50      418
   84     X      B       0      49      418
   85     A      D       0      48      419
   86     X      B     428      50      418
   87     A      D       0      50      418
   88     G      N       0      50      418
   89     A      D       0      49      419
   90     X      B     151      48      418
   91     A      D       0      50      418
   92     X      B     434      50      419
   93     J      N       0      50      419
   94     K      N       0      50      418
   95     I      N     240      49      420
   96     X      B       0      49      419
   97     A      D       0      49      419
   98     X      B       0      50      419
   99     A      D       0      50      418
   100    X      B       0      48      419
   101    A      D       0      50      418
   102    X      B       0      50      419
   103    A      D       0      48      419
   104    X      B       0      49      420
   105    A      D       0      49      419
   106    X      B       0      50      418
   107    T      N       0      50      418
   108    P      N       0      49      420
   109    A      D       0      48      419
   110    V      N       0      50      419
   111    A      D       0      48      419
   112    X      B       0      50      420
   113    F      N       0      49      418
   114    B      N       0      50      420
   115    A      D       0      50      419
   116    M      N       0      50      418
   117    A      D       0      48      419
   118    X      B     206      50      418
   119    A      D       0      50      419
   120    S      N       0      50      418
   121    A      D       0      50      418
   122    X      B     157      48      419
   123    A      D       0      50      419
   124    X      B     373      48      419
   125    U      N       0      49      420
   126    D      N       0      48      418
   127    F      N       0      49      420
   128    D      N       0      48      419
   129    A      D       0      50      419
   130    X      B     296      49      419
   131    A      D       0      50      420
   132    X      B     933      50      419
   133    A      D       0      50      418
   134    X      B       0      48      419
   135    A      D       0      48      418
   136    F      N     213      50      418
   137    L      N       0      49      419
   138    X      B       0      50      419
   139    A      D       0      48      418
   140    C      N       0      49      420
   141    A      D       0      48      419
   142    X      B     432      49      419
   143    A      D       0      49      419
   144    X      B     193      49      420
   145    A      D       0      49      419
   146    X      B     436      50      420
   147    A      D       0      50      419
   148    X      B     251      50      418
   149    A      D       0      50      418
   150    X      B     222      50      418
   151    A      D       0      50      419
   152    X      B     344      50      418
   153    A      D       0      50      418
   154    X      B     276      48      419
   155    A      D       0      49      419
   156    X      B     712      48      419
   157    A      D       0      49      420
   158    W      N       0      48      419
   159    A      D       0      49      420
   160    X      B       0      48      419
   161    Z      N       0      50      420
   162    X      B       0      50      418
   163    A      D       0      50      420
   164    X      B     268      50      419
   165    A      D       0      49      419
   166    X      B     239      50      419
   167    A      D       0      50      418
   168    X      B     266      50      418
   169    A      D       0      48      418
   170    X      B     156      48      419
   171    A      D     548      49      419
   172    X      B       0      50      418
   173    A      D       0      48      419
   174    N      N     177      49      420
   175    R      N       0      50      418
   176    I      N       0      49      420
   177    P      N       0      48      419
   178    X      B       0      49      419
   179    D      N       0      49      420
   180    F      N       0      50      418
   181    A      D       0      50      418
   182    X      B     166      49      418
   183    A      D       0      50      419
   184    T      N     160      48      419
   185    A      D       0      50      418
   186    D      N       0      48      419
   187    V      N       0      50      418
   188    X      B       0      49      420
   189    Y      N       0      49      420
   190    S      N       0      48      419
   191    A      D       0      50      419
   192    C      N       0      48      419
   193    A      D       0      50      420
   194    X      B       0      50      418
   195    A      D       0      50      420
   196    X      B     253      50      419
   197    H      N       0      49      420
   198    W      N       0      49      418
   199    F      N       0      50      418
   200    X      B       0      48      418
   201    A      D       0      48      418
   202    X      B     380      48      419
   203    R      N       0      49      419
   204    X      B       0      49      420
   205    A      D       0      50      419
   206    G      N     231      50      419
   207    A      D       0      50      418
   208    B      N       0      49      420
   209    A      D       0      48      419
   210    W      N     234      49      419
   211    V      N       0      49      419
   212    M      N       0      50      420
   213    L      N       0      49      418
   214    X      B       0      50      418
   215    A      D       0      48      419
   216    X      B     246      48      418
   217    A      D       0      50      419
   218    X      B       0      49      419
   219    A      D       0      50      418
   220    X      B       0      50      418
   221    A      D       0      49      420
   222    X      B     405      48      419
   223    A      D       0      50      419
   224    I      N       0      48      419
   225    A      D       0      49      420
   226    X      B       0      50      418
   227    A      D       0      50      420
   228    K      N     237      50      419
   229    A      D       0      50      419
   230    X      B     413      50      419
   231    A      D       0      50      418
   232    X      B       0      48      419
   233    A      D       0      48      418
   234    X      B     261      48      419
   235    M      N       0      49      419
   236    X      B       0      49      420
   237    R      N       0      50      419
   238    X      B       0      50      419
   239    A      D       0      50      418
   240    X      B       0      49      420
   241    A      D       0      48      419
   242    X      B       0      50      419
   243    A      D       0      49      419
   244    O      N     219      50      420
   245    A      D       0      50      418
   246    T      N       0      50      418
   247    A      D       0      48      419
   248    X      B       0      50      418
   249    A      D       0      49      418
   250    X      B       0      49      420
   251    Z      N       0      50      418
   252    X      B       0      50      418
   253    O      N       0      50      418
   254    J      N       0      49      420
