Smart-B® para Windows®


Ensayo  Codigo  Tipo  T.D.R  T.A.E.  I.I.E.
   1      A      D       0      50      418
   2      V      N       0      49      420
   3      A      D       0      49      419
   4      T      N     215      50      418
   5      A      D     500      50      418
   6      W      N       0      49      420
   7      A      D       0      48      419
   8      X      B       0      50      419
   9      Y      N       0      48      419
   10     M      N       0      50      420
   11     A      D       0      49      420
   12     X      B     304      50      418
   13     A      D     152      50      419
   14     X      B      73      50      419
   15     A      D       0      50      419
   16     X      B       0      50      418
   17     A      D       0      48      419
   18     X      B       0      48      418
   19     A      D       0      48      419
   20     X      B     511      50      419
   21     F      N       0      49      418
   22     U      N       0      48      419
   23     A      D       0      49      420
   24     X      B     235      50      418
   25     A      D       0      49      420
   26     X      B       0      49      419
   27     A      D       0      50      419
   28     X      B     221      50      419
   29     A      D       0      50      418
   30     X      B       0      48      419
   31     O      N       0      50      418
   32     Q      N       0      50      419
   33     M      N       0      48      419
   34     X      B       0      49      420
   35     A      D       0      49      419
   36     U      N     196      50      418
   37     A      D       0      50      418
   38     Z      N       0      49      420
   39     A      D       0      48      419
   40     X      B     557      50      419
   41     A      D       0      48      419
   42     G      N       0      50      420
   43     U      N       0      49      419
   44     X      B     441      50      420
   45     A      D       0      50      419
   46     E      N       0      50      418
   47     A      D     443      50      418
   48     X      B       0      48      418
   49     A      D       0      48      419
   50     O      N       0      50      418
   51     A      D     599      50      418
   52     H      N       0      48      419
   53     A      D       0      50      419
   54     X      B       0      48      419
   55     A      D       0      49      420
   56     X      B       0      48      418
   57     A      D       0      50      420
   58     X      B     743      49      419
   59     A      D       0      50      418
   60     X      B     490      50      418
   61     K      N       0      50      418
   62     X      B       0      50      419
   63     A      D       0      50      418
   64     P      N       0      50      418
   65     F      N       0      50      419
   66     Q      N       0      50      418
   67     A      D       0      48      419
   68     X      B       0      48      418
   69     M      N       0      48      419
   70     V      N       0      49      418
   71     A      D       0      50      419
   72     X      B     240      48      419
   73     A      D       0      50      419
   74     X      B       0      49      419
   75     A      D       0      49      420
   76     X      B       0      50      418
   77     O      N       0      50      420
   78     J      N       0      50      419
   79     A      D       0      50      418
   80     X      B     227      48      419
   81     A      D       0      50      418
   82     X      B       0      50      419
   83     A      D       0      50      418
   84     X      B     176      50      418
   85     U      N       0      48      419
   86     O      N       0      49      418
   87     R      N       0      50      419
   88     J      N       0      48      418
   89     A      D       0      48      419
   90     X      B     233      50      419
   91     A      D       0      50      419
   92     V      N       0      48      419
   93     A      D       0      48      419
   94     X      B     428      49      419
   95     A      D       0      50      420
   96     X      B       0      49      418
   97     L      N       0      50      418
   98     E      N       0      48      419
   99     A      D       0      50      419
   100    X      B     360      48      419
   101    A      D       0      48      418
   102    X      B       0      48      419
   103    A      D     489      50      418
   104    D      N       0      50      418
   105    V      N       0      48      419
   106    I      N       0      50      419
   107    L      N       0      48      419
   108    X      B       0      49      420
   109    T      N       0      50      418
   110    U      N       0      50      420
   111    Z      N       0      48      419
   112    H      N       0      49      419
   113    A      D       0      50      419
   114    O      N       0      50      418
   115    A      D       0      48      419
   116    X      B     512      48      418
   117    A      D       0      48      419
   118    X      B       0      49      419
   119    A      D     597      49      420
   120    X      B       0      50      419
   121    A      D       0      50      419
   122    X      B     450      50      418
