Smart-B® para Windows®


Ensayo  Codigo  Tipo  T.D.R  T.A.E.  I.I.E.
   1      A      D       0      48      418
   2      H      N     236      50      418
   3      Q      N       0      49      420
   4      X      B       0      50      418
   5      A      D       0      50      418
   6      X      B     192      49      420
   7      A      D       0      48      419
   8      X      B     200      49      419
   9      A      D       0      48      419
   10     G      N     226      50      420
   11     A      D       0      49      420
   12     X      B     495      50      420
   13     A      D       0      50      419
   14     X      B     338      50      418
   15     M      N       0      50      418
   16     F      N       0      50      418
   17     A      D       0      50      419
   18     X      B     288      50      418
   19     A      D       0      50      418
   20     X      B       0      48      419
   21     H      N       0      50      418
   22     X      B       0      50      418
   23     A      D       0      48      418
   24     X      B     202      48      419
   25     A      D       0      49      418
   26     X      B       0      50      419
   27     G      N       0      48      419
   28     J      N       0      50      419
   29     A      D     491      49      419
   30     X      B       0      50      420
   31     A      D       0      50      418
   32     X      B     214      50      418
   33     A      D       0      48      419
   34     V      N       0      50      418
   35     A      D       0      49      418
   36     X      B     318      48      419
   37     A      D       0      50      418
   38     C      N       0      50      418
   39     A      D       0      50      418
   40     X      B     243      49      419
   41     A      D       0      48      418
   42     L      N       0      48      419
   43     F      N       0      50      419
   44     I      N       0      50      419
   45     A      D       0      50      418
   46     X      B     410      49      420
   47     A      D       0      48      419
   48     G      N       0      49      419
   49     A      D       0      49      419
   50     U      N       0      50      420
   51     A      D       0      49      418
   52     G      N       0      50      418
   53     A      D       0      48      420
   54     H      N       0      49      418
   55     A      D       0      48      419
   56     X      B     352      48      418
   57     A      D       0      48      419
   58     M      N       0      50      419
   59     A      D       0      50      418
   60     X      B     436      48      419
   61     A      D       0      50      419
   62     X      B     413      48      419
   63     A      D       0      49      420
   64     X      B     602      50      418
   65     D      N       0      50      420
   66     X      B       0      49      420
   67     O      N       0      50      419
   68     H      N       0      50      419
   69     A      D       0      50      418
   70     P      N     234      48      419
   71     A      D       0      48      418
   72     X      B       0      48      419
   73     A      D       0      49      419
   74     X      B     414      49      420
   75     A      D       0      50      419
   76     X      B     231      50      419
   77     S      N       0      50      418
   78     X      B       0      49      420
   79     F      N       0      48      419
   80     X      B       0      50      419
   81     L      N       0      49      419
   82     L      N       0      50      420
   83     A      D       0      50      418
   84     X      B     308      50      418
   85     A      D       0      48      419
   86     X      B     262      48      418
   87     A      D       0      49      418
   88     X      B     313      48      419
   89     A      D       0      50      418
   90     T      N       0      50      418
   91     F      N       0      50      418
   92     B      N       0      49      419
   93     A      D       0      48      418
   94     X      B     250      50      418
   95     A      D       0      50      419
   96     X      B     324      50      419
   97     A      D       0      50      418
   98     O      N       0      49      420
   99     B      N       0      49      419
   100    U      N       0      49      419
   101    A      D       0      49      420
   102    X      B     160      50      418
   103    C      N       0      48      419
   104    Y      N       0      50      418
   105    H      N       0      50      419
   106    X      B       0      48      419
   107    A      D       0      49      420
   108    C      N     239      49      419
   109    A      D       0      50      418
   110    X      B     215      50      418
   111    A      D       0      49      420
   112    X      B     313      48      419
   113    A      D       0      50      419
   114    Q      N       0      48      419
   115    A      D       0      49      420
   116    X      B     329      50      418
   117    A      D       0      50      420
   118    X      B     314      50      419
   119    A      D       0      50      418
   120    X      B     261      48      419
   121    A      D       0      50      418
   122    X      B     399      50      419
   123    A      D       0      50      418
   124    P      N       0      50      418
   125    A      D       0      48      419
   126    X      B     236      49      419
   127    J      N       0      48      419
   128    X      B       0      49      420
   129    A      D       0      50      418
   130    X      B     262      49      420
   131    A      D       0      48      419
   132    Z      N       0      50      419
   133    A      D       0      49      419
   134    E      N       0      50      420
   135    A      D       0      50      419
   136    X      B       0      50      418
   137    A      D       0      48      419
   138    X      B       0      50      418
   139    Y      N       0      49      418
   140    U      N       0      49      420
   141    A      D     523      50      418
   142    X      B       0      50      418
   143    A      D       0      49      420
   144    O      N       0      48      419
   145    A      D       0      49      419
