Smart-B® para Windows®


Ensayo  Codigo  Tipo  T.D.R  T.A.E.  I.I.E.
   1      N      N       0      48      419
   2      V      N       0      49      418
   3      A      D       0      48      419
   4      X      B     442      49      419
   5      V      N       0      50      418
   6      U      N       0      49      420
   7      I      N       0      48      418
   8      H      N       0      50      418
   9      A      D       0      48      419
   10     P      N       0      49      418
   11     G      N       0      49      419
   12     X      B       0      48      419
   13     A      D     309      49      419
   14     X      B       0      49      419
   15     K      N       0      49      419
   16     I      N       0      50      419
   17     G      N       0      50      418
   18     X      B       0      50      418
   19     S      N       0      48      418
   20     U      N       0      48      419
   21     A      D       0      49      419
   22     X      B       0      48      418
   23     A      D     360      48      419
   24     X      B       0      49      420
   25     A      D       0      50      418
   26     X      B     105      49      420
   27     A      D       0      48      419
   28     X      B     241      49      419
   29     D      N       0      49      420
   30     W      N       0      50      420
   31     L      N       0      49      418
   32     X      B       0      50      418
   33     S      N       0      48      419
   34     H      N       0      48      419
   35     A      D       0      49      419
   36     X      B       0      48      418
   37     A      D     424      48      419
   38     X      B       0      50      419
   39     A      D       0      50      419
   40     X      B      85      48      419
   41     A      D       0      50      419
   42     X      B     150      48      419
   43     A      D     461      50      420
   44     X      B       0      50      419
   45     P      N       0      49      419
   46     G      N       0      50      419
   47     A      D       0      49      419
   48     X      B       0      48      419
   49     A      D     391      50      418
   50     L      N       0      48      419
   51     A      D       0      48      418
   52     X      B       0      48      419
   53     A      D     382      49      420
   54     L      N       0      49      420
   55     A      D       0      50      419
   56     B      N       0      50      419
   57     A      D       0      50      418
   58     X      B       0      49      420
   59     A      D     320      49      420
   60     I      N       0      49      419
   61     C      N       0      50      419
   62     X      B       0      50      418
   63     K      N       0      48      419
   64     X      B       0      50      418
   65     R      N       0      50      419
   66     D      N       0      48      419
   67     A      D       0      49      420
   68     X      B       0      49      419
   69     A      D     426      50      418
   70     X      B       0      50      418
   71     E      N       0      49      420
   72     M      N       0      48      419
   73     A      D       0      49      419
   74     Y      N       0      48      419
   75     A      D       0      50      420
   76     N      N       0      49      418
   77     A      D       0      50      420
   78     M      N       0      50      419
   79     A      D       0      50      418
   80     U      N       0      48      419
   81     A      D       0      48      418
   82     X      B       0      50      419
   83     A      D     419      50      418
   84     O      N       0      50      418
   85     A      D       0      48      419
   86     X      B       0      50      419
   87     A      D     432      48      419
   88     X      B       0      49      420
   89     A      D       0      50      418
   90     X      B      33      49      420
   91     A      D     376      49      419
   92     X      B       0      50      419
   93     A      D     391      50      419
   94     X      B       0      50      418
   95     A      D       0      48      419
   96     X      B       0      49      419
   97     A      D     179      48      419
   98     X      B       0      48      418
   99     A      D     311      50      418
   100    X      B       0      49      419


[Sumario de aciertos]
Estímulo blanco=6

[Sumario de errores de comisión]
Click falso estímulo blanco (An)=0
Click falso estímulo blanco (nX)=0
Click estímulo neutro=0
Clik de anticipación=14

Total de errores de comisión:14

Tiempo de respuesta promedio:176.000000
