Smart-B® para Windows®


Ensayo  Codigo  Tipo  T.D.R  T.A.E.  I.I.E.
   1      A      D       0      48      419
   2      X      B       0      49      419
   3      A      D       0      50      419
   4      X      B     196      49      420
   5      W      N       0      49      418
   6      D      N       0      50      418
   7      A      D       0      50      419
   8      X      B       0      48      418
   9      A      D       0      48      419
   10     X      B       0      49      418
   11     A      D       0      50      418
   12     F      N       0      48      419
   13     B      N       0      49      420
   14     L      N       0      50      418
   15     Y      N       0      49      420
   16     D      N       0      48      419
   17     I      N       0      49      419
   18     X      B       0      49      418
   19     A      D       0      50      420
   20     X      B       0      49      418
   21     A      D       0      49      418
   22     X      B     282      48      419
   23     A      D       0      49      419
   24     X      B     291      49      420
   25     S      N       0      48      418
   26     V      N       0      48      419
   27     A      D       0      49      420
   28     X      B     279      50      418
   29     A      D       0      48      419
   30     X      B     464      50      419
   31     A      D       0      48      419
   32     X      B     203      49      420
   33     Z      N       0      50      418
   34     U      N       0      50      420
   35     A      D       0      49      420
   36     X      B     235      49      418
   37     E      N       0      50      419
   38     X      B       0      50      418
   39     E      N       0      50      418
   40     H      N       0      48      418
   41     A      D       0      48      419
   42     F      N       0      50      418
   43     W      N       0      49      420
   44     X      B       0      49      418
   45     U      N       0      50      419
   46     T      N       0      50      418
   47     A      D       0      50      420
   48     X      B     229      49      419
   49     A      D       0      49      419
   50     X      B     206      49      419
   51     A      D       0      50      420
   52     Q      N     213      49      418
   53     A      D       0      50      418
   54     X      B       0      48      418
   55     A      D       0      50      418
   56     L      N       0      50      420
   57     A      D       0      48      419
   58     X      B       0      50      418
   59     A      D       0      50      418
   60     X      B       0      50      418
   61     A      D       0      49      418
   62     X      B       0      50      418
   63     A      D       0      50      418
   64     O      N       0      48      419
   65     A      D       0      49      420
   66     X      B       0      50      418
   67     J      N       0      49      420
   68     F      N       0      48      419
   69     F      N       0      49      419
   70     X      B       0      49      420
   71     A      D       0      50      418
   72     X      B     325      50      418
   73     L      N       0      50      418
   74     B      N       0      50      419
   75     A      D       0      48      419
   76     X      B     218      50      418
   77     R      N       0      48      419
   78     X      B       0      50      418
   79     A      D       0      50      418
   80     X      B     296      48      418
   81     A      D       0      48      419
   82     X      B     218      49      418
   83     A      D       0      50      419
   84     X      B     293      48      419
   85     A      D       0      49      420
   86     W      N       0      48      419
   87     A      D       0      50      420
   88     U      N       0      49      419
   89     A      D       0      49      419
   90     X      B       0      50      419
   91     H      N      55      50      418
   92     T      N       0      50      419
   93     A      D       0      50      419
   94     I      N       0      48      419
   95     A      D       0      50      419
   96     X      B     299      49      419
   97     A      D       0      48      418
   98     H      N     229      48      418
   99     A      D       0      49      419
   100    M      N       0      48      419


[Sumario de aciertos]
Estímulo blanco=15

[Sumario de errores de comisión]
Click falso estímulo blanco (An)=2
Click falso estímulo blanco (nX)=0
Click estímulo neutro=0
Clik de anticipación=0

Total de errores de comisión:2

Tiempo de respuesta promedio:268.933319
