Smart-B® para Windows®


Ensayo  Codigo  Tipo  T.D.R  T.A.E.  I.I.E.
   1      A      D       0      50      418
   2      X      B     266      48      419
   3      A      D       0      50      418
   4      B      N     261      50      419
   5      A      D       0      48      419
   6      X      B       0      49      420
   7      A      D       0      49      419
   8      I      N       0      50      418
   9      G      N       0      50      418
   10     B      N       0      49      420
   11     A      D       0      48      419
   12     W      N     234      50      419
   13     A      D       0      49      419
   14     X      B       0      50      420
   15     A      D       0      50      418
   16     M      N       0      50      420
   17     A      D       0      50      419
   18     X      B       0      50      418
   19     A      D       0      48      419
   20     X      B       0      48      418
   21     A      D      66      49      419
   22     X      B     426      50      418
   23     A      D       0      50      418
   24     X      B     437      48      419
   25     A      D       0      50      419
   26     D      N       0      48      419
   27     A      D       0      49      420
   28     X      B       0      50      418
   29     I      N     296      50      418
   30     X      B       0      47      418
   31     A      D       0      49      418
   32     X      B     325      49      418
   33     A      D       0      48      419
   34     X      B     310      50      418
   35     K      N       0      49      418
   36     V      N       0      50      418
   37     A      D       0      48      419
   38     X      B       0      50      418
   39     Y      N     136      50      419
   40     X      B       0      49      419
   41     L      N       0      50      418
   42     S      N       0      50      418
   43     A      D       0      49      418
   44     X      B       0      50      419
   45     A      D     150      50      419
   46     X      B       0      50      419
   47     I      N       0      48      418
   48     X      B       0      48      419
   49     A      D       0      48      419
   50     X      B     349      49      419
   51     A      D       0      49      419
   52     G      N     286      49      419
   53     R      N       0      50      419
   54     F      N       0      50      418
   55     A      D       0      50      418
   56     P      N       0      48      418
   57     T      N       0      50      419
   58     Z      N       0      49      419
   59     C      N       0      50      418
   60     Y      N       0      48      419
   61     G      N       0      49      420
   62     V      N       0      50      418
   63     A      D       0      49      420
   64     B      N       0      49      419
   65     C      N       0      49      419
   66     L      N       0      49      419
   67     A      D       0      50      420
   68     X      B     262      49      418
   69     A      D       0      50      418
   70     X      B     298      48      419
   71     N      N       0      49      419
   72     O      N       0      48      419
   73     A      D       0      48      418
   74     H      N       0      48      419
   75     A      D       0      50      419
   76     X      B       0      50      418
   77     L      N       0      48      419
   78     N      N     163      50      419
   79     A      D       0      48      419
   80     X      B       0      49      420
   81     A      D     297      49      420
   82     X      B       0      48      419
   83     A      D     226      50      419
   84     X      B       0      49      419
   85     A      D     373      50      419
   86     W      N       0      50      418
   87     A      D       0      48      418
   88     X      B     432      48      418
   89     A      D       0      48      419
   90     Q      N       0      49      419
   91     U      N       0      49      420
   92     G      N       0      50      419
   93     H      N       0      50      419
   94     X      B       0      50      418
   95     A      D       0      49      420
   96     E      N       0      48      419
   97     A      D       0      49      419
   98     D      N     288      49      419
   99     G      N       0      50      420
   100    B      N       0      49      418
   101    A      D       0      50      418
   102    D      N       0      48      419
   103    C      N       0      48      418
   104    X      B       0      48      419
   105    A      D       0      49      420
   106    X      B       0      50      418
   107    I      N       8      50      418
   108    Y      N       0      49      420
   109    E      N       0      48      419
   110    Q      N       0      50      419
   111    G      N       0      48      419
   112    X      B       0      50      420
   113    A      D       0      50      419
   114    Y      N       0      49      419
   115    A      D       0      50      419
   116    X      B       0      50      419
   117    Q      N       0      50      419
   118    X      B       0      50      418
   119    A      D       0      48      419
   120    X      B     208      48      418
   121    A      D      10      48      419
   122    X      B     180      49      420
   123    O      N       0      49      418
   124    L      N       0      48      419
   125    A      D       0      50      420
   126    M      N     429      50      418
   127    W      N       0      49      420
   128    E      N       0      49      419
   129    A      D       0      50      419
   130    X      B       0      50      419
   131    A      D       0      50      418
   132    X      B     131      48      419
   133    A      D       0      50      418
   134    Y      N      85      50      419
   135    A      D       0      48      419
   136    X      B     398      49      420
   137    A      D       0      49      419
   138    H      N       0      50      418
   139    I      N       0      50      418
   140    T      N       0      49      420
   141    A      D       0      48      419
   142    X      B     289      50      419
   143    A      D       0      48      419
   144    N      N       0      50      420
   145    I      N       0      49      419
   146    S      N       0      50      418
   147    A      D       0      48      419
   148    X      B     285      50      418
   149    W      N       0      49      418
   150    I      N       0      48      419
   151    E      N       0      50      418
   152    E      N       0      50      418
   153    A      D       0      50      418
   154    L      N       0      49      419
   155    A      D       0      48      418
   156    J      N       0      50      418
   157    A      D       0      50      419
   158    X      B     421      50      419
   159    I      N       0      50      418
   160    X      B       0      49      420
   161    A      D       0      49      419
   162    Z      N       0      49      419
   163    A      D       0      49      420
   164    X      B       0      50      418
   165    A      D      26      48      418
   166    X      B       0      50      420
   167    G      N       0      48      419
   168    X      B       0      48      418
   169    A      D       0      50      418
   170    P      N       0      49      420
   171    A      D       0      50      418
   172    X      B     448      50      418
   173    A      D       0      50      420
   174    N      N       0      48      419
   175    A      D       0      48      419
   176    X      B     330      50      418
   177    A      D       0      48      418
   178    X      B     269      48      418
   179    A      D       0      49      418
   180    X      B     128      50      419
   181    A      D       0      50      419
   182    M      N     239      49      418
   183    A      D       0      48      419
   184    X      B     449      50      418
   185    A      D       0      49      418
   186    U      N       0      50      418
