Smart-B® para Windows®


Ensayo  Codigo  Tipo  T.D.R  T.A.E.  I.I.E.
   1      W      N       0      48      418
   2      P      N       0      50      418
   3      K      N       0      48      419
   4      Y      N       0      50      418
   5      A      D       0      48      419
   6      X      B     316      48      418
   7      A      D       0      48      419
   8      Z      N       0      49      418
   9      L      N       0      50      420
   10     V      N       0      49      419
   11     A      D       0      48      418
   12     U      N       0      49      419
   13     A      D       0      50      418
   14     X      B     421      48      418
   15     S      N       0      48      419
   16     X      B       0      50      418
   17     A      D       0      50      418
   18     I      N       0      49      418
   19     E      N       0      49      419
   20     Q      N       0      50      418
   21     A      D       0      50      418
   22     N      N       0      50      418
   23     A      D       0      48      419
   24     X      B     448      49      418
   25     I      N       0      50      418
   26     R      N       0      50      419
   27     A      D       0      50      419
   28     X      B     365      48      418
   29     A      D       0      50      420
   30     X      B     382      49      419
   31     L      N       0      50      420
   32     Q      N       0      49      419
   33     A      D       0      50      418
   34     X      B     291      48      420
   35     A      D       0      50      419
   36     U      N       0      49      419
   37     Q      N       0      49      420
   38     G      N       0      49      419
   39     D      N       0      48      419
   40     R      N       0      48      419
   41     A      D       0      49      418
   42     X      B     322      48      419
   43     A      D       0      50      419
   44     X      B     298      50      418
   45     A      D       0      49      419
   46     X      B     253      50      418
   47     A      D       0      50      421
   48     X      B     293      49      419
   49     A      D       0      48      419
   50     X      B     529      48      420
   51     E      N       0      50      419
   52     M      N       0      48      418
   53     Z      N       0      48      419
   54     H      N       0      50      420
   55     A      D       0      49      419
   56     X      B     341      50      419
   57     A      D       0      50      418
   58     X      B     382      48      420
   59     A      D       0      50      418
   60     X      B     326      50      418
   61     A      D       0      50      418
   62     H      N       0      50      419
   63     A      D       0      49      419
   64     X      B     770      49      418
   65     A      D       0      50      418
   66     X      B       0      50      419
   67     A      D       0      50      420
   68     X      B     161      50      418
   69     A      D     519      49      419
   70     D      N       0      48      422
   71     A      D       0      49      419
   72     X      B     444      49      419
   73     A      D       0      50      419
   74     X      B     357      49      418
   75     A      D       0      49      418
   76     X      B     265      45      433
   77     N      N       0      48      419
   78     X      B       0      43      421
   79     A      D       0      50      418
   80     K      N       0      50      419
   81     A      D       0      46      418
   82     X      B       0      48      419
   83     A      D       0      49      419
   84     X      B     162      50      419
   85     A      D       0      49      419
   86     F      N       0      48      419
   87     A      D       0      49      418
   88     S      N       0      50      420
   89     A      D       0      50      418
   90     X      B     862      50      418
   91     A      D       0      50      419
   92     X      B       0      48      418
   93     A      D       0      50      418
   94     X      B     785      48      420
   95     Z      N       0      49      418
   96     X      B       0      49      420
   97     P      N       0      49      420
   98     X      B       0      49      419
   99     B      N       0      50      419
   100    X      B       0      49      419


[Sumario de aciertos]
Estímulo blanco=22

[Sumario de errores de comisión]
Click falso estímulo blanco (An)=0
Click falso estímulo blanco (nX)=0
Click estímulo neutro=0
Clik de anticipación=1

Total de errores de comisión:1

Tiempo de respuesta promedio:398.772736
