Smart-B® para Windows®


Ensayo  Codigo  Tipo  T.D.R  T.A.E.  I.I.E.
   1      P      N       0      50      418
   2      C      N       0      50      418
   3      D      N       0      49      420
   4      X      B       0      48      419
   5      A      D       0      50      419
   6      M      N       0      48      420
   7      C      N       0      50      420
   8      X      B       0      50      419
   9      A      D       0      50      420
   10     B      N       0      50      419
   11     A      D       0      50      419
   12     X      B     190      48      419
   13     A      D       0      50      418
   14     U      N       0      49      420
   15     A      D       0      48      418
   16     F      N       5      48      419
   17     F      N       0      50      419
   18     F      N       0      49      419
   19     A      D       0      50      418
   20     F      N       0      49      420
   21     G      N       0      50      418
   22     R      N       0      50      420
   23     A      D       0      49      419
   24     X      B     305      50      419
   25     A      D       0      50      419
   26     H      N       0      50      418
   27     B      N       0      48      419
   28     N      N       0      50      418
   29     A      D       0      50      419
   30     X      B     201      49      419
   31     O      N       0      49      420
   32     C      N       0      50      419
   33     A      D       0      50      419
   34     X      B     235      50      418
   35     A      D       0      49      420
   36     X      B     357      48      419
   37     A      D       0      49      419
   38     X      B     398      50      419
   39     A      D       0      50      420
   40     X      B     324      50      418
   41     Q      N       0      50      418
   42     Y      N       0      48      419
   43     A      D       0      50      418
   44     X      B       0      49      418
   45     A      D      12      48      419
   46     N      N       0      50      418
   47     I      N       0      50      418
   48     X      B       0      49      419
   49     A      D     439      48      419
   50     X      B       0      49      419
   51     A      D       0      48      419
   52     X      B     447      49      420
   53     A      D       0      49      419
   54     L      N       0      50      420
   55     A      D       0      50      419
   56     M      N      56      50      418
   57     A      D       0      50      418
   58     X      B     253      50      418
   59     A      D       0      50      419
   60     X      B     240      50      418
   61     A      D       0      50      418
   62     X      B     210      48      419
   63     A      D       0      50      418
   64     X      B     150      49      419
   65     A      D       0      48      418
   66     X      B      64      48      419
   67     Q      N       0      49      418
   68     X      B       0      50      419
   69     A      D       0      48      419
   70     R      N      93      50      419
   71     A      D       0      48      419
   72     B      N       0      50      420
   73     C      N       0      50      419
   74     J      N       0      49      419
   75     A      D       0      50      419
   76     X      B     294      50      418
   77     A      D       0      48      419
   78     X      B     345      48      418
   79     A      D       0      48      419
   80     X      B     219      50      418
   81     A      D       0      50      418
   82     X      B      96      48      419
   83     A      D       0      50      419
   84     X      B     161      48      419
   85     P      N       0      49      420
   86     X      B       0      50      418
   87     A      D       0      50      420
   88     J      N     225      49      419
   89     A      D       0      50      419
   90     S      N       0      50      419
   91     C      N       0      50      418
   92     X      B       0      48      419
   93     E      N       0      49      419
   94     X      B       0      49      419
   95     N      N       0      48      418
   96     X      B       0      50      418
   97     A      D       0      50      419
   98     K      N       0      49      419
   99     A      D     467      50      418
   100    H      N       0      49      420
   101    D      N       0      48      419
   102    U      N       0      49      419
   103    A      D       0      50      418
   104    J      N       0      50      420
   105    A      D       0      50      419
   106    X      B       0      50      419
   107    S      N       0      50      418
   108    R      N       0      51      418
   109    M      N       0      49      418
   110    Q      N       0      48      420
   111    H      N       0      50      418
   112    W      N       0      50      418
   113    W      N       0      50      418
   114    W      N       0      49      420
   115    A      D       0      48      418
   116    X      B     357      50      418
   117    A      D       0      50      419
   118    X      B     279      48      419
   119    A      D       0      50      418
   120    E      N     224      49      420
   121    J      N       0      49      419
   122    X      B       0      49      419
   123    A      D       0      50      419
   124    X      B      65      50      418
   125    A      D       0      48      419
   126    X      B       0      48      418
   127    A      D       0      49      418
   128    X      B      64      48      419
   129    A      D       0      49      420
   130    X      B       0      49      420
   131    O      N       0      50      418
   132    V      N       0      50      418
   133    A      D     452      49      420
   134    X      B       0      48      419
   135    D      N       0      50      419
   136    U      N       0      48      419
   137    U      N       0      50      420
   138    X      B       0      49      419
   139    A      D       0      50      420
   140    X      B     213      50      419
   141    A      D       0      50      418
   142    X      B       0      48      419
   143    A      D     296      48      418
   144    X      B       0      48      419
   145    A      D       0      50      418
   146    X      B     229      50      418
   147    A      D       0      48      419
   148    X      B       0      50      419
   149    A      D      78      48      419
   150    X      B     464      49      420
   151    A      D       0      48      418
   152    I      N     384      50      420
   153    A      D       0      49      419
   154    X      B       0      50      419
   155    A      D      88      50      419
   156    Y      N       0      50      418
   157    K      N       0      48      419
   158    N      N       0      50      420
   159    A      D     283      50      418
   160    C      N       0      48      418
   161    A      D       0      50      418
   162    W      N       0      49      420
   163    R      N       0      50      419
   164    R      N       0      48      418
   165    A      D       0      49      420
   166    X      B     268      48      419
   167    A      D       0      49      419
   168    X      B       0      49      419
   169    A      D       0      50      420
   170    X      B       0      50      419
   171    A      D       0      50      418
   172    X      B     152      48      419
   173    A      D       0      50      418
   174    X      B       0      49      418
   175    A      D       0      48      419
   176    U      N     315      50      418
   177    O      N       0      48      419
   178    H      N       0      49      419
   179    A      D       0      48      419
   180    X      B       0      49      419
   181    A      D      38      48      419
   182    X      B     319      49      420
   183    J      N       0      48      419
   184    Y      N       0      49      420
   185    A      D       0      49      420
   186    X      B     223      50      420
   187    A      D       0      49      418
   188    X      B     265      50      418
   189    G      N       0      48      419
   190    X      B       0      50      419
   191    A      D       0      49      419
   192    X      B     308      48      418
   193    A      D       0      50      418
   194    W      N       0      50      419
   195    A      D       0      50      419
   196    X      B     259      48      419
   197    A      D       0      49      420
   198    H      N       0      48      419
   199    A      D       0      50      418
   200    U      N       0      50      418
   201    A      D       0      49      418
   202    X      B     256      50      418
   203    A      D       0      50      418
   204    X      B     418      50      418
   205    S      N       0      50      419
   206    D      N       0      50      418
   207    A      D       0      50      418
   208    X      B     352      48      418
   209    A      D       0      48      419
   210    X      B       0      50      418
   211    A      D       0      50      418
   212    C      N     222      48      419
   213    E      N       0      50      419
   214    T      N       0      48      419
   215    A      D     352      49      420
   216    X      B       0      48      419
   217    A      D       0      50      420
   218    P      N       0      49      419
   219    R      N       0      50      420
   220    G      N       0      50      419
   221    A      D       0      50      418
   222    Q      N       0      48      419
   223    A      D       0      49      419
   224    X      B     250      48      419
   225    A      D       0      48      418
   226    K      N     213      50      418
   227    B      N       0      50      419
   228    X      B       0      50      419
   229    Z      N       0      48      419
   230    X      B       0      49      420
   231    T      N       0      48      419
   232    B      N       0      49      420
   233    A      D       0      49      419
   234    X      B     363      50      420
   235    A      D       0      50      419
   236    N      N       0      49      419
   237    A      D       0      50      419
   238    X      B     235      50      418
   239    Y      N       0      50      418
   240    J      N       0      48      418
   241    A      D       0      48      419
   242    X      B      98      50      418
   243    O      N       0      50      418
   244    Z      N       0      48      419
   245    A      D       0      49      420
   246    W      N     118      48      419
   247    A      D       0      50      420
   248    R      N       0      48      419
   249    A      D       0      49      419
   250    X      B     233      49      419
   251    S      N       0      50      420
   252    Z      N       0      49      418
   253    A      D       0      50      418
   254    X      B     274      48      419
   255    D      N       0      50      419
   256    X      B       0      49      419
   257    V      N       0      48      418
   258    M      N       0      48      418
   259    A      D       0      50      419
   260    I      N     215      50      419
   261    Y      N       0      48      420
   262    X      B       0      50      419
   263    A      D       0      48      419
   264    X      B     289      50      420
   265    A      D       0      50      418
   266    X      B       0      50      420
   267    A      D     234      50      419
   268    X      B     315      49      419
   269    C      N       0      50      419
   270    Q      N       0      50      418
   271    A      D     349      50      418
   272    X      B       0      48      418
   273    A      D       0      48      419
   274    G      N       0      49      420
   275    A      D       0      50      419
   276    X      B      37      48      419
   277    R      N       0      49      420
   278    Z      N       0      50      418
   279    Q      N       0      49      420
   280    H      N       0      49      419
   281    N      N       0      49      419
   282    X      B       0      50      419
   283    A      D       0      50      418
   284    N      N       0      50      418
   285    A      D       0      50      418
   286    X      B     380      50      419
   287    A      D       0      48      419
   288    X      B       0      50      418
   289    A      D       0      48      419
   290    B      N      97      50      418
   291    A      D       0      50      418
   292    X      B       0      48      418
   293    A      D     149      48      419
   294    X      B       0      50      418
   295    Q      N       0      50      419
   296    K      N       0      48      419
   297    A      D       0      49      420
   298    U      N      68      49      419
   299    A      D       0      50      420
   300    X      B     290      50      419
   301    A      D       0      49      419
   302    X      B     258      50      419
   303    A      D       0      50      418
   304    X      B       0      50      418
   305    A      D     119      48      418
   306    X      B       0      48      419
   307    A      D     163      49      418
   308    X      B       0      50      418
   309    A      D      60      48      419
   310    X      B       0      49      420
   311    A      D       0      48      419
   312    D      N       0      49      420
   313    A      D       0      48      419
   314    X      B       0      49      419
   315    V      N       0      49      419
   316    X      B       0      50      420
   317    Q      N       0      49      418
   318    C      N       0      50      418
   319    A      D       0      48      419
   320    X      B     386      50      419
   321    A      D       0      49      419
   322    X      B     227      48      418
   323    A      D       0      48      418
   324    X      B      38      50      419
   325    A      D       0      50      419
   326    X      B     240      48      419
   327    A      D       0      50      419
   328    X      B     200      48      419
   329    A      D       0      49      420
   330    X      B     224      50      418
   331    A      D       0      50      420
   332    X      B     169      50      419
   333    O      N       0      49      419
   334    Y      N       0      50      419
   335    B      N       0      50      418
   336    Q      N       0      50      418
   337    A      D       0      48      418
   338    X      B     312      48      419
   339    H      N       0      49      420
   340    X      B       0      49      420
   341    K      N     160      50      419
   342    Z      N       0      50      419
   343    A      D       0      50      418
   344    X      B       0      49      420
   345    A      D       0      49      419
   346    X      B       0      49      419
   347    Q      N       0      50      419
