Smart-B® para Windows®


Ensayo  Codigo  Tipo  T.D.R  T.A.E.  I.I.E.
   1      C      N       0      48      418
   2      E      N       0      48      419
   3      A      D       0      49      419
   4      X      B     284      49      420
   5      A      D       0      49      419
   6      T      N       0      50      419
   7      A      D       0      50      418
   8      X      B     246      50      420
   9      A      D       0      48      419
   10     X      B     486      50      419
   11     A      D       0      49      419
   12     X      B     265      50      420
   13     A      D     509      50      418
   14     C      N       0      50      418
   15     A      D       0      48      419
   16     X      B     210      50      418
   17     A      D       0      49      418
   18     T      N       0      50      419
   19     A      D       0      50      418
   20     X      B     290      50      418
   21     A      D       0      49      420
   22     X      B     477      48      419
   23     A      D       0      49      419
   24     S      N       0      48      419
   25     A      D       0      49      420
   26     X      B     339      49      419
   27     A      D       0      50      420
   28     X      B     348      49      419
   29     T      N       0      49      418
   30     C      N       0      50      418
   31     A      D       0      50      418
   32     S      N       0      50      419
   33     A      D       0      50      418
   34     X      B     237      50      418
   35     A      D       0      48      419
   36     X      B     561      49      418
   37     D      N       0      48      419
   38     D      N       0      49      420
   39     H      N       0      48      419
   40     X      B       0      50      420
   41     A      D       0      48      418
   42     D      N     200      50      419
   43     V      N       0      50      418
   44     X      B       0      49      418
   45     A      D       0      48      418
   46     R      N       0      50      418
   47     A      D       0      50      418
   48     R      N       0      50      419
   49     A      D       0      50      418
   50     C      N       0      49      418
   51     D      N       0      50      418
   52     X      B       0      50      418
   53     A      D       0      50      418
   54     X      B     306      50      418
   55     A      D       0      49      419
   56     X      B     355      48      418
   57     A      D       0      49      419
   58     X      B     224      50      419
   59     A      D       0      50      419
   60     K      N     244      50      419
   61     A      D       0      49      419
   62     X      B     208      49      419
   63     G      N       0      50      418
   64     X      B       0      49      419
   65     A      D       0      50      420
   66     X      B     251      49      418
   67     A      D       0      50      418
   68     X      B     619      48      419
   69     A      D       0      50      418
   70     X      B     266      50      419
   71     A      D       0      49      419
   72     X      B     187      50      418
   73     A      D       0      50      418
   74     X      B     270      50      418
   75     A      D       0      49      420
   76     X      B     274      50      419
   77     A      D       0      50      419
   78     X      B     259      48      418
   79     A      D       0      48      419
   80     X      B     246      50      419
   81     A      D       0      50      420
   82     N      N     263      50      418
   83     S      N       0      49      419
   84     O      N       0      50      419
   85     A      D       0      50      418
   86     X      B     252      50      418
   87     C      N       0      50      418
   88     N      N       0      50      419
   89     A      D       0      48      419
   90     T      N       0      50      418
   91     T      N       0      48      419
   92     X      B       0      50      420
   93     A      D       0      50      418
   94     P      N       0      49      420
   95     A      D       0      48      419
   96     X      B     234      50      419
   97     A      D       0      49      419
   98     X      B     251      50      420
   99     A      D       0      50      418
   100    X      B     222      50      420
   101    H      N       0      50      419
   102    G      N       0      49      420
   103    A      D       0      48      419
   104    X      B     198      50      418
   105    A      D       0      48      418
   106    M      N     208      48      418
   107    A      D       0      48      419
