Smart-B® para Windows®


Ensayo  Codigo  Tipo  T.D.R  T.A.E.  I.I.E.
   1      A      D       0      50      419
   2      X      B     208      48      418
   3      A      D     613      48      419
   4      S      N       0      50      420
   5      P      N       0      49      420
   6      X      B       0      50      418
   7      J      N       0      50      419
   8      L      N       0      50      419
   9      Q      N       0      48      419
   10     G      N       0      50      418
   11     A      D       0      48      419
   12     X      B     303      50      420
   13     A      D       0      50      419
   14     X      B     288      48      418
   15     A      D       0      50      418
   16     R      N       0      50      419
   17     I      N       0      50      419
   18     Q      N       0      50      418
   19     U      N       0      49      420
   20     J      N       0      49      419
   21     A      D       0      50      419
   22     W      N       0      50      419
   23     J      N       0      49      418
   24     B      N       0      48      419
   25     A      D       0      50      418
   26     S      N       0      50      419
   27     A      D       0      48      419
   28     X      B     230      49      420
   29     A      D       0      50      418
   30     I      N       0      50      418
   31     A      D       0      50      418
   32     X      B     240      49      420
   33     A      D       0      49      418
   34     K      N       0      50      418
   35     V      N       0      50      419
   36     B      N       0      49      418
   37     A      D       0      48      419
   38     V      N       0      50      418
   39     A      D       0      49      419
   40     X      B     323      49      420
   41     A      D       0      50      418
   42     X      B     330      50      419
   43     A      D       0      50      418
   44     X      B     302      48      418
   45     A      D       0      48      419
   46     X      B     327      50      418
   47     A      D       0      48      418
   48     H      N       0      48      419
   49     A      D       0      50      419
   50     E      N       0      50      419
   51     R      N       0      50      418
   52     X      B       0      49      420
   53     A      D       0      48      419
   54     X      B     294      50      419
   55     A      D       0      49      419
   56     X      B     342      50      420
   57     A      D       0      49      418
   58     X      B     303      50      418
   59     A      D       0      49      419
   60     X      B     274      50      418
   61     A      D       0      50      419
   62     X      B     318      48      419
   63     A      D       0      50      419
   64     M      N       0      50      418
   65     G      N       0      50      419
   66     O      N       0      49      420
   67     M      N       0      50      419
   68     X      B       0      49      419
   69     Y      N       0      49      420
   70     E      N       0      50      418
   71     A      D       0      50      420
   72     X      B     233      49      418
   73     G      N       0      50      418
   74     I      N       0      48      419
   75     A      D       0      50      418
   76     X      B     231      50      419
   77     I      N       0      50      418
   78     H      N       0      50      418
   79     U      N       0      50      419
   80     X      B       0      49      418
   81     A      D       0      50      418
   82     X      B     256      48      418
   83     W      N       0      48      420
   84     X      B       0      50      419
   85     A      D       0      50      419
   86     X      B     317      48      418
   87     A      D       0      49      418
   88     X      B     352      50      419
   89     A      D       0      48      418
   90     X      B     306      48      418
   91     A      D       0      48      419
   92     X      B     277      48      419
   93     A      D       0      49      419
   94     X      B     264      49      419
   95     A      D       0      50      419
   96     X      B     288      50      418
   97     A      D       0      50      418
   98     X      B     275      49      418
   99     A      D       0      50      419
   100    X      B     301      48      418


[Sumario de aciertos]
Estímulo blanco=25

[Sumario de errores de comisión]
Click falso estímulo blanco (An)=0
Click falso estímulo blanco (nX)=0
Click estímulo neutro=0
Clik de anticipación=1

Total de errores de comisión:1

Tiempo de respuesta promedio:287.279999
